PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Commercial,3850045000,5227 W STATE ST,,10,6252,Warehouse Building - 1 Story,,1,1952,0,3276,1,0,0,0,44174,2002-11,450000
Vacant Land,6250191000,4792 S 13TH ST,,13,6290,Commercial Land,,0,0,0,0,1,0,0,0,49454,2002-11,80000
Residential,3900518000,1116 N 13TH ST,,4,3040,Rm or Rooming House,Frame,1.5,1890,0,2372,6,2,2,0,7750,2002-12,35000
Commercial,1249988110,6944 N TEUTONIA AV,,1,6216,Auto & Auto Body Repair,,1,1965,0,9406,1,0,0,0,100380,2002-12,200000
Commercial,2230205100,9105 W HAMPTON AV,,5,6212,Auto & Auto Body Repair,,1,1996,0,2304,1,0,0,0,21684,2002-12,237000
Commercial,3060629000,5814 W CENTER ST,,10,6250,Auto & Auto Body Repair,,1,1949,0,1460,1,0,0,0,9875,2002-12,60000
Commercial,2529982200,7646 W APPLETON AV,,5,6418,Billboard,,0,0,0,0,1,0,0,0,15535,2002-12,625000
Commercial,1369979110,3403 W KIEHNAU AV,,1,6216,Cottage,,1,1935,0,618,1,0,0,0,74052,2002-12,510000
Commercial,2670682000,4335 W FOND DU LAC AV,,7,6244,Day Care Center,,1,1951,0,2221,1,0,0,0,4800,2002-12,65000
Commercial,5310137000,5032 W FOREST HOME AV,,11,6288,Office Building - Multi Story ( Ofc & Apt),,2,1969,0,5214,1,0,0,0,8080,2002-12,332500
Commercial,2739958000,3839 N PALMER ST,,6,6238,Parking Lot,,0,0,0,0,1,0,0,0,72702,2002-12,55600
Commercial,4340005000,722 S 21ST ST,,8,6277,Parking Lot,,0,0,0,0,1,0,0,0,11700,2002-12,17600
Commercial,4940049100,2550 S 30TH ST,,8,6283,Parking Lot,,0,0,0,0,1,0,0,0,10367,2002-12,33500
Commercial,3850010000,5402 W STATE ST,,10,6252,Service Building,,1,1930,0,3225,1,0,0,0,17060,2002-12,56900
Commercial,3560229000,2140 N PROSPECT AV,,3,6262,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1934,0,7998,1,0,0,0,18000,2002-12,700000
Commercial,2819979000,400 E BURLEIGH ST,,6,6238,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1909,0,3780,1,0,0,0,5280,2002-12,65000
Commercial,4590533000,1753 S MUSKEGO AV,,8,6278,"Store Building - Single tenant, 1 story",,1,1909,0,3885,1,0,0,0,3990,2002-12,45000
Commercial,4691005110,1804 W LINCOLN AV,,12,6281,"Store Building - Single tenant, 1 story",,1,1970,0,2500,1,0,0,0,9564,2002-12,146400
Commercial,2830205100,1131 W KEEFE AV,,6,6240,"Store Building - Single tenant, 1 story",,1,1993,0,2360,1,0,0,0,7200,2002-12,60000
Commercial,2730008000,3851 N HUBBARD ST,,6,6420,Warehouse Building - 1 Story,,1,1949,0,32620,1,0,0,0,16605,2002-12,247500
Commercial,3090002000,3205 W BURLEIGH ST,,7,6242,Warehouse Building - 1 Story,,1,1922,0,22795,1,0,0,0,50334,2002-12,140000
Vacant Land,4620137000,1662 S 3RD ST,,12,6279,Commercial Land,,0,0,0,0,1,0,0,0,3500,2002-12,9600
Commercial,3141123000,3044 N HOLTON ST,,6,6238,Cottage,,1,1905,0,506,1,0,0,0,3120,2003-01,35000
Commercial,5071024000,2956 S 13TH ST,,14,6284,Laundromat,,1,1922,0,1745,1,0,0,0,3660,2003-01,70000
Commercial,2509997000,6030 W CAPITOL DR,,2,6230,Medical Clinic,,1,1957,0,2646,1,0,0,0,5410,2003-01,120000
Commercial,5470703000,3620 S CLEMENT AV,,14,6282,Office Building - 1 Story,,1,1962,0,3600,1,0,0,0,4000,2003-01,120000
Commercial,5071023000,2960 S 13TH ST,,14,6284,Office Building - Multi Story ( Ofc & Apt),,1,1900,0,1982,1,0,0,0,3660,2003-01,74000
Commercial,3921569000,802 N VAN BUREN ST,,4,6460,Rooming House - 8 or more units,,3,1896,0,5256,1,0,0,0,2310,2003-01,425000
Commercial,3920661000,524 N WATER ST,,4,6460,"Store Bldg - Multi Story (Store & Apt, Store & O",,4,1880,0,8800,1,0,0,0,2400,2003-01,215000
Commercial,5040849000,2993 S CLEMENT AV,,14,6282,"Store Bldg - Multi Story (Store & Apt, Store & O",,3,1923,0,5862,1,0,0,0,4690,2003-01,250000
Commercial,5050921000,2721 S HOWELL AV,,14,6282,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1924,0,5716,1,0,0,0,6681,2003-01,230000
Commercial,4960621000,1532 W WINDLAKE AV,,12,6281,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1927,0,5500,1,0,0,0,4540,2003-01,118000
Commercial,4680516000,616 W LINCOLN AV,,12,6281,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1921,0,4119,1,0,0,0,3300,2003-01,80000
Commercial,3520770000,1845 N 12TH ST,,15,6256,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1928,0,2328,1,0,0,0,4530,2003-01,36000
Commercial,4600315100,1401 W MITCHELL ST,,12,6418,Svs Station w Conv Store,,1,2001,0,2916,1,0,0,0,16800,2003-01,750000
Commercial,4690653000,2179 S 14TH ST,,12,6278,Tavern,,2,1926,0,3650,1,0,0,0,4200,2003-01,121900
Commercial,3491308100,3109 W LISBON AV,,15,6254,Warehouse Building - 1 Story,,1,1954,0,6575,1,0,0,0,32021,2003-01,70000
